column,unique_count,mode,mode_frequency,mode_percentage
CarName_alfa-romero Quadrifoglio,2,False,204,0.9951219512195122
CarName_alfa-romero giulia,2,False,204,0.9951219512195122
CarName_alfa-romero stelvio,2,False,204,0.9951219512195122
CarName_audi 100 ls,2,False,204,0.9951219512195122
CarName_audi 100ls,2,False,203,0.9902439024390244
CarName_audi 4000,2,False,204,0.9951219512195122
CarName_audi 5000,2,False,204,0.9951219512195122
CarName_audi 5000s (diesel),2,False,204,0.9951219512195122
CarName_audi fox,2,False,204,0.9951219512195122
CarName_bmw 320i,2,False,203,0.9902439024390244
CarName_bmw x1,2,False,204,0.9951219512195122
CarName_bmw x3,2,False,203,0.9902439024390244
CarName_bmw x4,2,False,204,0.9951219512195122
CarName_bmw x5,2,False,204,0.9951219512195122
CarName_bmw z4,2,False,204,0.9951219512195122
CarName_buick century,2,False,204,0.9951219512195122
CarName_buick century luxus (sw),2,False,204,0.9951219512195122
CarName_buick century special,2,False,204,0.9951219512195122
CarName_buick electra 225 custom,2,False,204,0.9951219512195122
CarName_buick opel isuzu deluxe,2,False,204,0.9951219512195122
CarName_buick regal sport coupe (turbo),2,False,204,0.9951219512195122
CarName_buick skyhawk,2,False,204,0.9951219512195122
CarName_buick skylark,2,False,204,0.9951219512195122
CarName_chevrolet impala,2,False,204,0.9951219512195122
CarName_chevrolet monte carlo,2,False,204,0.9951219512195122
CarName_chevrolet vega 2300,2,False,204,0.9951219512195122
CarName_dodge challenger se,2,False,204,0.9951219512195122
CarName_dodge colt (sw),2,False,204,0.9951219512195122
CarName_dodge colt hardtop,2,False,204,0.9951219512195122
CarName_dodge coronet custom,2,False,204,0.9951219512195122
CarName_dodge coronet custom (sw),2,False,204,0.9951219512195122
CarName_dodge d200,2,False,204,0.9951219512195122
CarName_dodge dart custom,2,False,204,0.9951219512195122
CarName_dodge monaco (sw),2,False,204,0.9951219512195122
CarName_dodge rampage,2,False,204,0.9951219512195122
CarName_honda accord,2,False,203,0.9902439024390244
CarName_honda accord cvcc,2,False,204,0.9951219512195122
CarName_honda accord lx,2,False,204,0.9951219512195122
CarName_honda civic,2,False,202,0.9853658536585366
CarName_honda civic (auto),2,False,204,0.9951219512195122
CarName_honda civic 1300,2,False,204,0.9951219512195122
CarName_honda civic 1500 gl,2,False,204,0.9951219512195122
CarName_honda civic cvcc,2,False,203,0.9902439024390244
CarName_honda prelude,2,False,204,0.9951219512195122
CarName_isuzu D-Max ,2,False,203,0.9902439024390244
CarName_isuzu D-Max V-Cross,2,False,204,0.9951219512195122
CarName_isuzu MU-X,2,False,204,0.9951219512195122
CarName_jaguar xf,2,False,204,0.9951219512195122
CarName_jaguar xj,2,False,204,0.9951219512195122
CarName_jaguar xk,2,False,204,0.9951219512195122
CarName_maxda glc deluxe,2,False,204,0.9951219512195122
CarName_maxda rx3,2,False,204,0.9951219512195122
CarName_mazda 626,2,False,202,0.9853658536585366
CarName_mazda glc,2,False,203,0.9902439024390244
CarName_mazda glc 4,2,False,204,0.9951219512195122
CarName_mazda glc custom,2,False,204,0.9951219512195122
CarName_mazda glc custom l,2,False,204,0.9951219512195122
CarName_mazda glc deluxe,2,False,203,0.9902439024390244
CarName_mazda rx-4,2,False,203,0.9902439024390244
CarName_mazda rx-7 gs,2,False,203,0.9902439024390244
CarName_mazda rx2 coupe,2,False,204,0.9951219512195122
CarName_mercury cougar,2,False,204,0.9951219512195122
CarName_mitsubishi g4,2,False,202,0.9853658536585366
CarName_mitsubishi lancer,2,False,204,0.9951219512195122
CarName_mitsubishi mirage,2,False,204,0.9951219512195122
CarName_mitsubishi mirage g4,2,False,202,0.9853658536585366
CarName_mitsubishi montero,2,False,204,0.9951219512195122
CarName_mitsubishi outlander,2,False,202,0.9853658536585366
CarName_mitsubishi pajero,2,False,204,0.9951219512195122
CarName_nissan clipper,2,False,203,0.9902439024390244
CarName_nissan dayz,2,False,204,0.9951219512195122
CarName_nissan fuga,2,False,204,0.9951219512195122
CarName_nissan gt-r,2,False,204,0.9951219512195122
CarName_nissan juke,2,False,204,0.9951219512195122
CarName_nissan kicks,2,False,204,0.9951219512195122
CarName_nissan latio,2,False,203,0.9902439024390244
CarName_nissan leaf,2,False,204,0.9951219512195122
CarName_nissan note,2,False,204,0.9951219512195122
CarName_nissan nv200,2,False,204,0.9951219512195122
CarName_nissan otti,2,False,204,0.9951219512195122
CarName_nissan rogue,2,False,203,0.9902439024390244
CarName_nissan teana,2,False,204,0.9951219512195122
CarName_nissan titan,2,False,204,0.9951219512195122
CarName_peugeot 304,2,False,204,0.9951219512195122
CarName_peugeot 504,2,False,199,0.9707317073170731
CarName_peugeot 504 (sw),2,False,204,0.9951219512195122
CarName_peugeot 505s turbo diesel,2,False,204,0.9951219512195122
CarName_peugeot 604sl,2,False,203,0.9902439024390244
CarName_plymouth cricket,2,False,204,0.9951219512195122
CarName_plymouth duster,2,False,204,0.9951219512195122
CarName_plymouth fury gran sedan,2,False,204,0.9951219512195122
CarName_plymouth fury iii,2,False,203,0.9902439024390244
CarName_plymouth satellite custom (sw),2,False,204,0.9951219512195122
CarName_plymouth valiant,2,False,204,0.9951219512195122
CarName_porcshce panamera,2,False,204,0.9951219512195122
CarName_porsche boxter,2,False,204,0.9951219512195122
CarName_porsche cayenne,2,False,203,0.9902439024390244
CarName_porsche macan,2,False,204,0.9951219512195122
CarName_renault 12tl,2,False,204,0.9951219512195122
CarName_renault 5 gtl,2,False,204,0.9951219512195122
CarName_saab 99e,2,False,203,0.9902439024390244
CarName_saab 99gle,2,False,203,0.9902439024390244
CarName_saab 99le,2,False,203,0.9902439024390244
CarName_subaru,2,False,203,0.9902439024390244
CarName_subaru baja,2,False,204,0.9951219512195122
CarName_subaru brz,2,False,204,0.9951219512195122
CarName_subaru dl,2,False,201,0.9804878048780488
CarName_subaru r1,2,False,204,0.9951219512195122
CarName_subaru r2,2,False,204,0.9951219512195122
CarName_subaru trezia,2,False,204,0.9951219512195122
CarName_subaru tribeca,2,False,204,0.9951219512195122
CarName_toyota carina,2,False,204,0.9951219512195122
CarName_toyota celica gt,2,False,204,0.9951219512195122
CarName_toyota celica gt liftback,2,False,204,0.9951219512195122
CarName_toyota corolla,2,False,199,0.9707317073170731
CarName_toyota corolla 1200,2,False,203,0.9902439024390244
CarName_toyota corolla 1600 (sw),2,False,204,0.9951219512195122
CarName_toyota corolla liftback,2,False,203,0.9902439024390244
CarName_toyota corolla tercel,2,False,204,0.9951219512195122
CarName_toyota corona,2,False,199,0.9707317073170731
CarName_toyota corona hardtop,2,False,204,0.9951219512195122
CarName_toyota corona liftback,2,False,204,0.9951219512195122
CarName_toyota corona mark ii,2,False,204,0.9951219512195122
CarName_toyota cressida,2,False,204,0.9951219512195122
CarName_toyota mark ii,2,False,202,0.9853658536585366
CarName_toyota starlet,2,False,203,0.9902439024390244
CarName_toyota tercel,2,False,204,0.9951219512195122
CarName_toyouta tercel,2,False,204,0.9951219512195122
CarName_vokswagen rabbit,2,False,204,0.9951219512195122
CarName_volkswagen 1131 deluxe sedan,2,False,204,0.9951219512195122
CarName_volkswagen 411 (sw),2,False,204,0.9951219512195122
CarName_volkswagen dasher,2,False,203,0.9902439024390244
CarName_volkswagen model 111,2,False,204,0.9951219512195122
CarName_volkswagen rabbit,2,False,204,0.9951219512195122
CarName_volkswagen rabbit custom,2,False,204,0.9951219512195122
CarName_volkswagen super beetle,2,False,204,0.9951219512195122
CarName_volkswagen type 3,2,False,204,0.9951219512195122
CarName_volvo 144ea,2,False,203,0.9902439024390244
CarName_volvo 145e (sw),2,False,203,0.9902439024390244
CarName_volvo 244dl,2,False,203,0.9902439024390244
CarName_volvo 245,2,False,204,0.9951219512195122
CarName_volvo 246,2,False,204,0.9951219512195122
CarName_volvo 264gl,2,False,203,0.9902439024390244
CarName_volvo diesel,2,False,204,0.9951219512195122
CarName_vw dasher,2,False,204,0.9951219512195122
CarName_vw rabbit,2,False,204,0.9951219512195122
fueltype_gas,2,True,185,0.9024390243902439
aspiration_turbo,2,False,168,0.8195121951219512
doornumber_two,2,False,115,0.5609756097560976
carbody_hardtop,2,False,197,0.9609756097560975
carbody_hatchback,2,False,135,0.6585365853658537
carbody_sedan,2,False,109,0.5317073170731708
carbody_wagon,2,False,180,0.8780487804878049
drivewheel_fwd,2,True,120,0.5853658536585366
drivewheel_rwd,2,False,129,0.6292682926829268
enginelocation_rear,2,False,202,0.9853658536585366
enginetype_dohcv,2,False,204,0.9951219512195122
enginetype_l,2,False,193,0.9414634146341463
enginetype_ohc,2,True,148,0.7219512195121951
enginetype_ohcf,2,False,190,0.926829268292683
enginetype_ohcv,2,False,192,0.9365853658536586
enginetype_rotor,2,False,201,0.9804878048780488
cylindernumber_five,2,False,194,0.9463414634146341
cylindernumber_four,2,True,159,0.775609756097561
cylindernumber_six,2,False,181,0.8829268292682927
cylindernumber_three,2,False,204,0.9951219512195122
cylindernumber_twelve,2,False,204,0.9951219512195122
cylindernumber_two,2,False,201,0.9804878048780488
fuelsystem_2bbl,2,False,139,0.6780487804878049
fuelsystem_4bbl,2,False,202,0.9853658536585366
fuelsystem_idi,2,False,185,0.9024390243902439
fuelsystem_mfi,2,False,204,0.9951219512195122
fuelsystem_mpfi,2,False,111,0.5414634146341464
fuelsystem_spdi,2,False,196,0.9560975609756097
fuelsystem_spfi,2,False,204,0.9951219512195122
